anio,mes,t_aire_mean
2018,1,25.84
2018,2,25.57
2018,3,24.9
2018,4,24.84
2018,5,20.27
2018,6,14.74
2018,7,15.84
2018,8,15.32
2018,9,20.77
2018,10,21.78
2018,11,24.27
2018,12,25.99
2019,1,27.88
2019,2,25.87
2019,3,23.47
2019,4,22.37
2019,5,19.61
2019,6,18.99
2019,7,14.77
2019,8,16.54
2019,9,19.54
2019,10,23.34
2019,11,25.47
2019,12,25.67
2020,1,26.89
2020,2,25.69
2020,3,26.49
2020,4,20.94
2020,5,17.19
2020,6,17.76
2020,7,15.23
2020,8,17.69
2020,9,20.19
2020,10,23.7
2020,11,24.53
2020,12,25.86
2021,1,25.96
2021,2,25.05
2021,3,24.62
2021,4,21.54
2021,5,17.05
2021,6,15.47
2021,7,14.84
2021,8,18.52
2021,9,20.89
2021,10,21.15
2021,11,24.34
2021,12,27.15
2022,1,30.1
2022,2,28.3
2022,3,24.68
2022,4,20.95
2022,5,16.29
2022,6,14.41
2022,7,18.91
2022,8,16.7
2022,9,17.3
2022,10,19.79
2022,11,22.01
2022,12,27.05
2023,1,28.07
2023,2,26.98
2023,3,26.38
2023,4,21.59
2023,5,18.85
2023,6,17.4
2023,7,17.53
2023,8,19.27
2023,9,21.85
2023,10,21.98
2023,11,24.41
2023,12,26.45
2024,1,26.67
2024,2,28.01
2024,3,26.64
2024,4,24.12
2024,5,17.66
2024,6,19.35
2024,7,14.92
2024,8,17.76
2024,9,21.67
2024,10,22.91
2024,11,25.45
2024,12,23.9
2025,1,27.12
2025,2,29.2
2025,3,26.43
2025,4,20.49
2025,5,19.92
2025,6,14.56
2025,7,15.09
2025,8,16.71
2025,9,19.59
2025,10,20.9
2025,11,23.28
2025,12,25.4
2026,1,25.87
2026,2,27.72
2026,3,26.24
